Account Status,Duration in month,Credit History,Purpose,Credit amount,Savings account or bonds,Present employment since,Instalment rate in percentage of disposable income,Personal status and sex,Other debtors or guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Target
Salary assignments for at least 2 year,30,critical account/ other credits existing (not at this bank),car(new),2181,Savings account,> 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1,None,yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,Savings account,unemployed,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",65,none,own,2,unemployed/ unskilled - non-resident,1,None,yes,1
Salary assignments for at least 2 year,24,existing credits paid back duly till now,furniture/equipment,4057,Savings account,4- 7 years,3,male : divorced/separated,none,3,"car or other, not in attribute 6",43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
Salary assignments for at least 1 year,12,existing credits paid back duly till now,education,795,Savings account, < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 2 year,24,critical account/ other credits existing (not at this bank),business,2825,Savings account,4- 7 years,4,male : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 2 year,48,existing credits paid back duly till now,business,15672,Savings account,1 - 4 years,2,male : single,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,36,critical account/ other credits existing (not at this bank),car(new),6614,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",34,none,own,2,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,28,all credits at this bank paid back duly,car(used),7824,Savings account, < 1 year,3,male : single,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,27,critical account/ other credits existing (not at this bank),business,2442,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",43,stores,own,4,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
No Checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,Savings account,> 7 years,4,male : single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,critical account/ other credits existing (not at this bank),car(new),2171,Savings account,1 - 4 years,4,male : single,none,4,building society savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1,None,no,1
Salary assignments for at least 2 year,36,critical account/ other credits existing (not at this bank),car(used),5800,Savings account,1 - 4 years,3,male : single,none,4,"car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,Savings account,1 - 4 years,4,male : single,none,3,building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,36,delay in paying off in the past,car(used),8947,Savings account,4- 7 years,3,male : single,none,2,"car or other, not in attribute 6",31,stores,own,1,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,21,existing credits paid back duly till now,radio/television,2606,Savings account, < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
No Checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1592,Savings account,4- 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,None,no,1
No Checking account,15,existing credits paid back duly till now,furniture/equipment,2186,Savings account,4- 7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled - resident,1,None,yes,1
Salary assignments for at least 1 year,18,existing credits paid back duly till now,furniture/equipment,4153,Savings account,1 - 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,None,yes,2
Salary assignments for at least 1 year,16,critical account/ other credits existing (not at this bank),car(new),2625,Savings account,> 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,43,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2
No Checking account,20,critical account/ other credits existing (not at this bank),car(new),3485,Savings account, < 1 year,2,male : divorced/separated,none,4,real estate,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,36,critical account/ other credits existing (not at this bank),car(used),10477,Savings account,> 7 years,2,male : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,None,yes,1
No Checking account,15,existing credits paid back duly till now,radio/television,1386,Savings account,1 - 4 years,4,male : married/widowed,none,2,real estate,40,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
No Checking account,24,existing credits paid back duly till now,radio/television,1278,Savings account,> 7 years,4,male : single,none,1,real estate,36,none,own,1,"management/ self-employed/
highly qualified employee/ officer",1,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1107,Savings account,1 - 4 years,2,male : single,none,2,real estate,20,none,rent,1,"management/ self-employed/
highly qualified employee/ officer",2,"yes, registered under the customers name",yes,1
Salary assignments for at least 1 year,21,existing credits paid back duly till now,car(new),3763,Savings account,4- 7 years,2,male : single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,None,no,1
Salary assignments for at least 2 year,36,existing credits paid back duly till now,education,3711,Savings account,1 - 4 years,2,male : married/widowed,none,2,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,15,delay in paying off in the past,car(used),3594,Savings account, < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1,None,yes,1
Salary assignments for at least 2 year,9,existing credits paid back duly till now,car(new),3195,Savings account,1 - 4 years,1,female : divorced/separated/married,none,2,real estate,33,none,own,1,unskilled - resident,1,None,yes,1
No Checking account,36,delay in paying off in the past,radio/television,4454,Savings account,1 - 4 years,4,female : divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee / official,1,None,yes,1
Salary assignments for at least 2 year,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,Savings account, < 1 year,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,None,yes,2
Salary assignments for at least 2 year,30,existing credits paid back duly till now,radio/television,2991,Savings account,> 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,None,yes,1
No Checking account,11,existing credits paid back duly till now,business,2142,Savings account,> 7 years,1,male : divorced/separated,none,2,real estate,28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1
